ID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,,2083.12645473,545.85381777,945.68819188,1346.64050525,1735.75290945,1166.93130854,1240.77859779,1740.93074085,1470.48353676,1009.44933295,821.80130571,1406.33707068,1808.22395685,1336.50369004,1392.95202952,2214.92492194,1070.62986091,1912.6402214,1480.47189895
9,,1933.04569969,557.4518876,762.422935,1314.33735453,1655.01589554,1018.17967641,1052.33508374,1654.80059608,1276.52128867,762.68577917,713.86687482,1310.81549815,1578.97729208,1255.33905762,1197.98353676,2222.94039171,781.95841612,1809.02597218,1572.4652285
17,,1738.31890434,648.34686347,642.4919103,1348.6836503,1565.36957139,920.48963951,889.4165484,1537.5503832,1130.0202952,569.70281011,654.92619926,1223.21061595,1359.78470054,1211.6981266,1053.07905194,2213.22438263,572.97076355,1742.0080897,1687.93428896
25,,1514.24325859,812.2195572,598.78597786,1435.12929322,1480.25518024,886.62319046,780.54839625,1432.63624752,1052.54953165,439.55606018,655.35481124,1131.34927619,1179.96494465,1223.08231621,982.69216577,2195.44535907,459.00425773,1706.20025546,1818.05549248
33,,1308.29804144,1033.49730343,639.97005393,1541.89327278,1402.21913142,920.90164632,744.13099631,1378.63993755,1050.44904911,381.7189895,723.93443088,1066.19997162,1053.61226228,1305.60445643,999.05109282,2178.53888731,446.63979563,1705.43485666,1938.41952881
41,,1158.23644621,1296.30598921,767.94819756,1651.23630429,1352.77448198,1024.5295203,791.669174,1404.9142776,1118.20266818,406.24084587,864.13128016,1051.16151008,985.39611127,1461.79577065,1101.84998581,2180.48296906,535.99063298,1748.38433154,2037.90973602
49,,1089.39185353,1577.35367584,978.07692308,1755.02242407,1347.10445643,1188.83110985,922.81393699,1521.11141073,1242.84217996,518.94166903,1072.25560602,1096.27703662,987.07493613,1677.14007948,1275.39327278,2211.15696849,722.11623616,1826.23488504,2117.68833381
57,,1122.5834516,1858.6471757,1255.64291797,1875.12091967,1400.27533352,1400.42548964,1125.86361056,1713.90831678,1420.66193585,718.57195572,1344.93372126,1201.81606585,1085.58260006,1933.06741414,1502.00539313,2274.25049674,997.29094522,1931.75205791,2188.70891286
65,,1261.30783423,2127.40547829,1570.86659097,2016.11013341,1526.77022424,1636.70905478,1378.21799603,1969.43372126,1635.6396537,996.6535623,1666.05080897,1369.44422367,1288.4159807,2203.69401079,1758.23758161,2367.47885325,1342.15384615,2067.75603179,2253.62276469
73,,1493.60814647,2379.20919671,1898.26738575,2180.54399659,1731.97402782,1880.35892705,1659.91867726,2268.15540732,1875.02185637,1342.16889015,2005.70437127,1606.85651433,1583.76397956,2477.57848425,2040.19656543,2490.00794777,1739.65867159,2256.47459552,2316.17087709
81,,1790.43315356,2613.45869997,2214.37723531,2372.79151292,2001.36701675,2121.8655975,1952.73630429,2585.21501561,2124.23204655,1728.67839909,2338.2601476,1905.26227647,1941.11964235,2752.73062731,2327.57678115,2639.03462958,2168.49034913,2493.6065853,
89,,2123.97686631,2831.29406756,2517.58600624,2588.79903491,2323.60516605,2354.44024979,2252.5857224,2903.99091683,2381.88234459,2126.54271927,2643.08373545,2249.4780017,2325.14859495,3017.60246949,2608.47445359,2805.84899234,2604.31904627,2761.82344593,
97,,2467.47260857,3030.22083452,2817.83110985,2816.54697701,2662.06045984,2570.47828555,2555.8597786,3206.85992052,2634.49858076,2508.04967357,2907.29335793,2611.50354811,2703.29208061,3260.64164065,2879.10175986,2976.97317627,3021.96437695,3044.30087993,
105,,2795.54768663,3204.32287823,3114.33494181,3038.08898666,2974.30570536,2762.64689185,2858.66832245,3473.78881635,2863.65725234,2862.15569117,3127.1477434,2969.17527675,3049.30442804,3467.49630996,3126.94507522,3140.98523985,3390.3244394,3315.94464945,
113,,3076.7601476,3346.7392847,3388.64362759,3222.11481692,3231.33210332,2912.46026114,3146.40377519,3685.13752484,3053.90562021,3183.04186773,3295.05293784,3295.1552654,3342.16080045,3625.8528243,3336.3795061,3282.87567414,3695.41285836,3555.41896111,
121,,3299.8441669,3450.41910304,3626.02185637,3343.22778882,3408.26483111,3011.60403066,3403.96849276,3837.25461255,3187.75120636,3459.77604315,3405.9437979,3563.30442804,3565.04825433,3722.28995175,3490.09225092,3385.23020153,3926.40703946,3739.41470338,
129,,3454.58018734,3506.28952597,3809.73971047,3386.68804996,3496.2815782,3056.33380641,3613.76539881,3925.95174567,3250.63142208,3677.84132841,3458.66520011,3743.4165484,3698.26440534,3746.68095373,3570.6981266,3432.71657678,4071.11098496,3852.64760148,
137,,3536.33295487,3513.14987227,3927.08387738,3357.18450185,3502.46622197,3049.37439682,3758.68904343,3947.96650582,3238.14107295,3827.02242407,3456.6065853,3835.79690605,3744.74467783,3698.18961113,3563.38433154,3426.49588419,4119.81180812,3885.63426057,
145,,3540.69358501,3475.93641783,3976.39767244,3268.80811808,3437.30343457,2993.08260006,3827.56627874,3912.06457565,3161.60828839,3906.31549815,3403.46863469,3843.53874539,3716.02057905,3591.65285268,3484.50624468,3367.41271643,4069.79718989,3842.73147885,
153,,3476.96196424,3398.19912007,3961.40803293,3139.40334942,3321.66477434,2899.09594096,3821.63426057,3824.51092819,3039.4860914,3916.88433154,3308.41938689,3775.28895827,3628.96224808,3438.72452455,3356.09892137,3260.54357082,3943.47189895,3736.40491059,
161,,3363.98396253,3286.11055918,3885.68918535,2986.24907749,3175.44337213,2781.5005677,3748.32458132,3687.19088845,2890.34288958,3857.91441953,3182.98424638,3645.14703378,3500.72693727,3253.28597786,3199.20806131,3123.06145331,3766.03306841,3586.2676696,
169,,3217.8934147,3149.29179676,3759.57507806,2825.02128867,3015.39753051,2653.10474028,3616.57451036,3516.97558899,2729.03973886,3742.73857508,3041.72608572,3474.83877377,3343.64362759,3055.29250639,3028.96792506,2969.74354244,3561.51518592,3410.18265683,
177,,3056.87978995,3005.67740562,3601.07607153,2666.24183934,2854.18265683,2524.78186205,3448.82954868,3335.76923077,2565.99219415,3586.5625887,2894.11666194,3285.93982401,3163.91158104,2858.0411581,2856.44450752,2813.07891002,3344.60332103,3225.1280159,
185,2478.99574227,2897.23332387,2865.44890718,3425.07947772,2516.79818337,2700.70763554,2403.27604315,3263.96820891,3158.76923077,2413.79875106,3405.18109566,2750.65540732,3093.28072665,2977.61524269,2671.47573091,2690.73658814,2661.11410729,3130.37865456,3041.4866591,
193,2384.246239,2749.96835084,2735.15540732,3245.75361907,2382.81393699,2560.6338348,2292.70962248,3080.46281578,2993.09835368,2280.87028101,3217.85452739,2618.9026398,2908.81152427,2800.70720976,2502.93854669,2538.4426625,2519.45472609,2931.58728357,2870.24198127,
201,2293.18918535,2620.99829691,2616.60147601,3076.11779733,2267.77050809,2437.54030656,2193.08260006,2909.49985808,2841.27675277,2171.87269373,3038.25021289,2503.35012773,2740.13936986,2642.63795061,2358.94550099,2405.55833097,2392.29889299,2756.26525688,2717.59579903,
