ID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,,1898.69027,2509.55752,1150.19469,1369.63717,315.74336,1079.13274,1760.84956,2088.12389,1692.9292,1668.87611,1484.32743,2003.61947,1949.63717,2558.89381,1822.45133,2086.52212,1697.44248,1518.06195,2214.79646
9,,1866.92035,2507.02655,801.77876,1320.63717,219.39823,810.02655,1484.25664,2049.00885,1633.32743,1360.04425,1306.51327,1919.51327,1912.22124,2502.10619,1613.19469,2031.30973,1320.76106,1226.57522,2115.22124
17,,1845.87611,2506.87611,580.68142,1414.9292,251.66372,667.02655,1278.9823,2048.19469,1577.18584,1059.53982,1173.41593,1917.41593,1916.09735,2471.07965,1463.76106,2030.61947,962.9469,1079.20354,2064.43363
25,,1839.9115,2521.67257,514.61947,1647.23894,407.42478,674.02655,1206.11504,2097.53982,1525.67257,836.33628,1138.34513,1965.76991,1966.82301,2481.89381,1423.88496,2097.47788,681.56637,1102.39823,2069.83186
33,,1878.9292,2575.86726,617.15044,1976.82301,671.9823,840.41593,1296.04425,2211.81416,1493.07965,736.15044,1237.61947,2061.37168,2072.76106,2550.25664,1517.61062,2241.14159,516.11504,1298.88496,2139.24779
41,,1989.23894,2694.45133,889.89381,2370.32743,1032.14159,1159.0708,1549.9292,2405.36283,1503.23009,782.37168,1471.97345,2252.39823,2239.47788,2691.66372,1732.61947,2465.97345,498.92035,1646.63717,2276.69912
49,,2188.87611,2890.62832,1321.47788,2815.28319,1468.95575,1603.30088,1934.0354,2679.77876,1614.76106,980.76991,1807.68142,2540.64602,2468.34513,2915.24779,2020.18584,2763.47788,650.58407,2094.49558,2482.31858
57,,2478.61947,3166.38053,1873.07965,3294.62832,1943.36283,2115.46903,2369.36283,3017.34513,1847.57522,1316.72566,2243.16814,2896.09735,2750.27434,3218.00885,2358.75221,3112.79646,979.44248,2591.36283,2747.17699
65,,2848.20354,3513.52212,2468.0354,3791.9469,2437.24779,2660.41593,2844.92035,3419.30973,2186.33628,1751.42478,2754.89381,3290.15929,3080.00885,3581.48673,2743.28319,3505.90265,1477.82301,3130.47788,3062.86726
73,,3280.23009,3905.88496,3073.00885,4277.41593,2943.61062,3231.0177,3349.57522,3875.58407,2608.61062,2264.9115,3298.61062,3697.55752,3444.04425,3965.45133,3167.99115,3924.84071,2108.68142,3700.15044,3408.50442
81,,3751.30973,4312.15044,3656.53982,4717.00885,3450.27434,3812.48673,3854.9115,4356.18584,3086.16814,2827.0177,3818.53982,4096.53097,3819.85841,4346.76106,3612.38053,4347.51327,2796.25664,4283.59292,
89,,4223.0177,4697.26549,4212.04425,5072.75221,3939.73451,4373.70796,4344.86726,4816.16814,3580.82301,3400.06195,4291.63717,4474.39823,4182.82301,4704.0354,4042.86726,4731.84956,3495.16814,4840.90265,
97,,4668.23894,5029.53982,4725.52212,5352.52212,4378.0177,4875.0,4810.81416,5211.11504,4054.9469,3933.70796,4692.47788,4817.84956,4514.07965,5014.0531,4445.79646,5051.55752,4154.58407,5329.9292,
105,,5035.14159,5283.16814,5159.02655,5562.9646,4721.50442,5271.84956,5221.14159,5499.39823,4464.13274,4413.47788,5003.0177,5109.70796,4796.76106,5258.45133,4801.9469,5291.84071,4716.76991,5696.11504,
113,,5296.47788,5435.66372,5505.0177,5710.18584,4953.9646,5549.37168,5550.39823,5653.65487,4798.09735,4815.04425,5220.09735,5332.48673,5020.33628,5405.82301,5077.13274,5436.13274,5160.81416,5948.89381,
121,,5449.74336,5480.0708,5755.53982,5775.78761,5071.0708,5712.78761,5781.74336,5678.65487,5043.09735,5126.58407,5350.23009,5468.18584,5169.20354,5439.29204,5232.15044,5469.49558,5460.57522,6091.69912,
