ID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,,1301.8970702,1311.2205089,1434.8315343,973.040478,1063.6962221,897.4040093,979.5084811,1373.8249807,1143.2378566,1328.1657672,1202.1148805,930.7104857,1222.8164996,1309.6341557,1228.035081,1094.1742483,1144.9911334,1061.1484194,1079.2783346
9,,1302.6233616,1351.7158828,1410.0158057,992.4899769,1076.2914418,811.5134927,981.5281419,1367.0643793,1109.1846569,1238.7112567,1222.3484965,901.0859676,1204.5146492,1296.6619121,1190.2756361,1053.9695451,1113.9298381,1024.4329221,1077.8851195
17,,1303.1426369,1408.3276793,1397.6326137,1073.4965305,1109.2902853,778.7779491,1010.2806476,1375.5832691,1091.7721665,1139.1788743,1271.2228219,874.772552,1197.310717,1301.3523516,1159.2652274,1023.4525829,1098.4421742,1008.2775636,1095.6337702
25,,1309.4907479,1485.7810332,1405.3377024,1203.2482652,1171.8145721,812.9448728,1072.5693909,1404.5377795,1097.7382421,1050.6692367,1347.2945258,849.8288358,1211.7440247,1327.7301465,1140.8608327,1016.1260601,1106.229761,1017.5871241,1134.4444873
33,,1338.6827294,1586.4013107,1448.6981496,1356.9853508,1269.1048574,909.9791827,1171.1491904,1477.1322282,1126.5458751,1011.9082498,1450.1341557,856.3712413,1255.7324595,1378.0543562,1156.2902853,1049.7147263,1142.4884348,1055.4429453,1195.6410948
41,,1407.0354665,1711.0,1547.192367,1515.1873554,1401.9414032,1048.5878951,1309.1464919,1616.9390902,1175.8546646,1051.3681573,1575.0979183,920.4541249,1334.6707787,1457.1214341,1220.2081727,1131.426754,1211.9352352,1124.9225135,1277.6106399
49,,1524.8500386,1861.1395528,1712.6025443,1671.4718581,1574.195451,1184.8357749,1485.9953739,1817.0235158,1244.1873554,1165.5682344,1720.1538165,1040.4568234,1446.3943716,1564.1461064,1319.0528142,1249.8126446,1319.2054742,1226.4811103,1375.4629915
57,,1694.2644564,2034.5115652,1927.1252891,1822.0851966,1784.6102544,1303.1017733,1703.498458,2031.0408635,1323.3138011,1342.7737086,1879.9745567,1191.5462606,1588.77101,1691.6044719,1448.1642251,1390.4988435,1473.2960678,1356.9186584,1482.1156515
65,,1916.4757132,2228.037394,2163.5921357,1972.0558982,2024.7898998,1391.1245181,1955.8141866,2249.3504241,1411.3141866,1565.7906708,2050.7787201,1365.2498072,1765.6734773,1829.114495,1605.1249036,1547.7212799,1679.1410948,1514.6260601,1598.502313
73,,2181.1256746,2430.115266,2377.1638396,2117.887047,2280.6291442,1456.887818,2230.574017,2465.1472629,1501.0555127,1816.6241326,2215.5246723,1549.5354665,1976.1437934,1972.2089437,1781.4868928,1714.4109483,1931.6291442,1703.5038551,1720.8704703
81,,2471.4194295,2626.9167309,2553.8874325,2248.7968389,2526.5466461,1509.5713184,2511.7740941,2666.6599846,1586.6272167,2079.57633,2359.9255975,1741.6545875,2211.3670008,2116.2760216,1962.3222822,1884.8072475,2213.7436392,1923.0728604,
89,,2757.041249,2799.5817271,2695.1364688,2344.6835004,2723.5077101,1555.3037779,2782.2698535,2837.7509638,1661.041249,2330.4078643,2477.4903624,1942.9275251,2451.496916,2252.5319969,2127.3905166,2053.9834233,2499.9090208,2160.0107941,
97,,3010.0100231,2922.887818,2801.6638396,2393.1673092,2848.8766384,1596.3762529,3020.7848882,2966.8461835,1718.4525829,2559.3550501,2562.9510409,2146.574788,2667.2162683,2371.7208944,2274.616037,2214.0281419,2764.4849653,2394.4814958,
