ID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,,1527.0910516,2193.4019664,2041.6362211,1046.2750071,1696.1575235,682.5386862,1147.2586919,1883.5550727,1105.5988173,1284.3312197,1153.2103876,1155.2519949,1524.6171274,2055.4259048,1179.7360359,1050.4992875,1081.3411228,1391.1754061,1056.7153035
9,,1617.7898974,2269.2529211,2025.1888715,1124.3520946,1759.2863351,459.3055001,1208.9557566,1918.6119265,1115.28776,1294.8756056,1244.2216443,1133.5907666,1593.8680536,2099.8641351,1229.7951696,1040.722428,1113.3961243,1438.6268168,1168.2288401
17,,1731.6139926,2321.3721146,2018.7985181,1245.2644628,1850.4715019,385.3746082,1283.8062838,1976.0546452,1135.3825876,1315.7271302,1352.1700627,1115.6481191,1677.6666429,2153.1229695,1285.1119265,1031.6807495,1156.104232,1476.2006982,1234.2079652
25,,1854.6607296,2357.5686093,2049.7639641,1408.4712169,1959.3012967,492.0635509,1387.8168994,2051.8961955,1169.7787119,1334.8273012,1489.281348,1120.431177,1775.0366914,2199.8483186,1328.2588344,1034.3158307,1201.4756341,1518.4584639,1280.1048732
33,,2001.2949558,2387.6717726,2152.6528213,1612.1625107,2098.3491023,760.8935594,1535.3320747,2170.2847677,1219.2118125,1353.0835708,1650.0764463,1194.196851,1906.1953548,2247.7289114,1380.7406669,1051.8282274,1250.3071388,1582.4707894,1330.8999715
41,,2200.7350385,2399.9317469,2340.4214876,1842.7303363,2247.4471359,1121.4778427,1718.6536763,2351.8464662,1271.0570675,1390.9966515,1821.9469222,1273.7346822,2065.6756198,2323.9630237,1450.4063836,1082.4743517,1307.6781134,1667.6025933,1402.785124
49,,2456.773796,2386.8823739,2612.4789114,2077.5124679,2393.3209604,1437.6407096,1958.7093189,2588.880664,1310.6487603,1456.611214,2017.1681391,1359.0525078,2234.5754488,2432.7979481,1538.934668,1123.2933172,1403.9456398,1770.3722571,1501.9667284
57,,2785.9100171,2339.1122115,2940.9375178,2325.7498575,2540.4618837,1647.5630522,2252.4143631,2836.1647905,1332.622827,1574.9174266,2225.8601453,1457.9521944,2417.6251781,2554.2045455,1666.0721716,1166.2636079,1558.527002,1897.538045,1619.6392135
65,,3196.4071673,2268.3235252,3265.4075948,2588.1360787,2690.3292961,1779.3639926,2582.1754773,3094.23055,1342.7972357,1757.5643346,2414.3840838,1575.830436,2629.2219293,2668.1466942,1853.5048447,1205.5213736,1783.1963522,2057.7849815,1743.0019949
73,,3655.7050442,2178.9007552,3454.8032915,2826.88387,2816.3010829,1853.8949843,2912.5047022,3324.0874893,1344.3292249,1994.0284981,2552.8265888,1702.5324879,2853.8124109,2746.6313052,2095.1026646,1226.7383158,2073.6034483,2242.1263893,1835.9091622
