ID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,,1496.9351169,1568.1364755,1505.6283965,933.9910265,1277.8426702,726.7568769,1036.3929051,1443.433803,1269.1245108,1226.7309069,1174.9011517,1015.52105,1415.6568545,1596.452952,1299.1749972,1320.2755787,1527.2799955,1323.7234429,1299.144778
9,,1471.1390753,1624.3695628,1427.4033602,963.0788606,1279.837862,643.6557643,1029.3369116,1440.5850945,1218.0541485,1085.7127921,1167.5250196,1007.909007,1377.533434,1575.5881695,1241.0202393,1311.7844963,1492.0310578,1288.9902997,1358.7642011
17,,1437.2194454,1694.2936654,1360.5168008,1083.824276,1301.2231354,626.7806944,1041.7078441,1447.4585989,1188.868836,945.860757,1205.0802583,1026.1345466,1341.8947501,1568.9817455,1194.9480879,1312.1801968,1474.4480879,1274.3374986,1439.8229062
25,,1398.4537627,1781.4059879,1325.3096276,1274.0150397,1347.3510846,686.1237281,1075.6183048,1469.9310914,1189.0698032,837.9819971,1283.3666275,1050.485743,1322.86017,1592.8623784,1177.6603209,1327.6957117,1486.033434,1284.0809572,1539.1612155
33,,1376.2997596,1888.2131835,1342.2495807,1490.8130381,1416.0345242,815.758694,1137.3909482,1532.2303757,1217.6599016,794.4338309,1401.3549704,1101.4514425,1326.6374818,1660.0092251,1207.1981158,1363.6669462,1536.4163312,1324.1832998,1653.8454657
41,,1391.5610533,2014.9939897,1426.8458571,1714.3368836,1507.0362015,994.6647378,1237.2188583,1662.301996,1271.8116404,842.622498,1556.609499,1208.4367662,1361.7867885,1779.6755004,1300.582914,1423.1814548,1635.6518227,1397.4562787,1778.9934027
49,,1464.8647825,2163.8425584,1581.8044001,1934.3257017,1627.0666723,1181.9242424,1381.9469417,1867.986386,1352.5898748,987.4745611,1751.1919099,1372.5585094,1445.8474505,1949.0520519,1449.7971598,1504.5796713,1791.0534496,1502.9223695,1907.9822207
57,,1611.8057699,2336.444314,1796.535922,2153.655932,1782.6888069,1356.4813262,1577.534021,2118.5308342,1464.0705859,1205.5888125,1986.6305211,1574.0734094,1592.1921894,2159.0989042,1645.3147993,1603.368193,2014.6904562,1639.3837359,2032.2307112
65,,1827.5496198,2534.0281785,2053.454797,2377.4757911,1975.1039081,1505.8177345,1827.1839707,2410.1822375,1597.8925976,1476.142961,2259.0031869,1805.3464721,1804.7342055,2401.7751873,1878.7573801,1720.1164318,2304.7006597,1810.9185955,2150.7381472
73,,2098.7405233,2751.5833613,2328.3226546,2601.2817008,2194.5563849,1636.3890753,2130.3744828,2735.3055742,1745.2680029,1786.9913899,2549.8061892,2055.904674,2069.8747344,2664.9312032,2137.5268646,1853.95421,2649.9426926,2026.1626971,2267.2806944
81,,2406.5261378,2979.7888013,2590.5152633,2809.0830258,2421.0635413,1756.5202113,2479.554428,3079.5494521,1895.6060606,2116.0429386,2845.1552052,2329.0398636,2370.7061389,2932.8281058,2403.9508554,2003.1249022,3025.2211227,2285.9223415,
89,,2722.4746729,3206.1406687,2836.538354,2975.7709102,2625.4244661,1867.8269876,2860.0724589,3416.1581125,2032.9371296,2441.5883932,3125.8751538,2624.2863133,2683.3034496,3178.3740076,2651.3312088,2164.333557,3395.3229341,2577.3176507,
97,,3021.5391088,3409.228978,3067.3710444,3085.1401655,2786.8782288,1963.772252,3248.238874,3711.2772,2142.4357039,2746.1545622,3367.4356759,2926.7687856,2983.2842447,3370.8162809,2868.1952924,2329.2423124,3721.3903053,2882.2678352,
105,,3270.2830985,3563.577379,3267.6950967,3130.5884491,2879.40965,2033.8063569,3618.9626803,3920.7695125,2210.1621659,3018.6640948,3540.6429889,3203.3285531,3236.4364307,3475.9578721,3037.4088393,2483.3578497,3956.5308062,3170.9612826,
113,,3456.2367774,3646.9871687,3427.7492173,3108.7746282,2891.0040814,2071.9181203,3938.1548977,4013.9026613,2233.8179582,3240.7984178,3612.7873197,3411.6543106,3408.7266018,3488.7554232,3130.1369507,2612.7854467,4090.1762552,3417.0827742,
121,,3567.1925808,3646.2283071,3527.2659902,3020.9874762,2831.0693,2075.6846975,4165.8690037,4004.9892933,2216.3118361,3381.4528123,3580.2214302,3535.0134183,3487.1164318,3404.5578944,3126.8796824,2698.5529464,4114.1512356,3590.4784748,
129,,3596.245024,3566.4628201,3551.6364755,2880.9984066,2718.1781841,2045.0762887,4263.2400201,3904.723387,2162.8231019,3431.7693447,3460.7129599,3544.5682377,3459.0663368,3236.6628928,3035.8638041,2723.5112937,4034.5736051,3663.6567707,
137,,3540.980208,3415.701722,3494.4832271,2705.6938667,2569.6217992,1985.9592419,4219.9074136,3722.5132226,2083.0025439,3391.8772783,3277.4157442,3458.1408364,3341.3765515,3019.1354411,2880.212233,2684.6613552,3858.5359499,3618.6956558,
145,,3403.9110757,3222.1020631,3370.6768981,2516.7737616,2401.6795538,1903.0398356,4058.5689086,3495.0645756,1985.54948,3275.3192721,3059.9057643,3300.330454,3166.1531365,2784.5919155,2690.4745891,2588.7848876,3595.545818,3470.1570782,
153,,3205.3161411,3007.1045231,3204.8370793,2330.9353405,2231.9997484,1806.6193112,3807.6765906,3246.1802807,1880.8150229,3108.5571676,2832.7427038,3093.5703343,2960.1413396,2552.1820418,2492.9029968,2448.6345745,3294.2069216,3251.7081237,
161,,2979.8849659,2789.1660517,3012.7744046,2158.9543218,2072.5211338,1706.6375936,3506.2726434,2991.5741082,1776.5326792,2916.0157945,2613.2967405,2866.6398021,2748.411523,2334.675752,2304.9243542,2286.6856759,2993.2012747,3002.6400816,
169,,2750.783406,2581.6201778,2815.7701275,2007.9594655,1930.9168624,1610.5087499,3191.2706307,2749.9601364,1678.1164878,2715.7284468,2415.7482109,2641.614503,2548.5310858,2142.5524433,2135.9292463,2120.120681,2716.4774405,2752.618221,
177,,2537.5797272,2396.5115733,2627.7113944,1879.08912,1809.8636643,1523.0667841,2892.4310634,2532.2775075,1588.5323158,2524.0815722,2245.5954378,2435.4600246,2369.3203064,1979.2806105,1989.1500335,1962.1492508,2474.3487644,2521.1321704,
185,1800.9132003,2352.7042659,2236.9674885,2457.1181091,1770.6450576,1708.8922341,1446.6905121,2626.9972325,2337.9595214,1511.1524936,2350.8481214,2104.0576149,2255.0863525,2214.0743878,1844.3274628,1864.4834507,1820.3796265,2271.3755731,2317.581656,
193,1745.6162082,2201.0880297,2101.1973331,2307.193056,1680.602119,1625.2081516,1381.9892374,2404.4723247,2173.5572235,1447.3204182,2200.448004,1988.9816616,2102.9111037,2082.9623169,1734.8500503,1759.8151907,1698.6557922,2107.6586436,2145.5892598,
201,1693.4151012,2081.3123113,1984.199877,2180.1043274,1607.2647601,1555.4258918,1327.853349,2224.9055686,2038.943056,1396.7231075,2073.3218998,1897.2794923,1976.2790171,1971.7148887,1648.173907,1673.9187633,1597.8912557,1979.0550431,2004.048893,
209,1646.4647769,1990.4469138,1883.865733,2074.1346584,1548.0882534,1497.4049536,1282.7659622,2084.426954,1930.9979873,1358.2699597,1967.8653137,1824.2946439,1871.3927094,1876.7997596,1580.0128313,1604.4024936,1517.6852287,1880.4710668,1890.11386,
217,1606.2959298,1922.3897462,1799.4004808,1986.0138097,1501.439366,1448.4559432,1245.3996142,1975.9111596,1845.4686347,1329.9859108,1881.215364,1765.2764173,1784.7752712,1796.0686011,1526.3007939,1549.6634239,1456.2325562,1806.1152018,1800.3861959,
225,1573.896679,1870.467209,1730.2662697,1910.8690876,1465.1285363,1408.2056636,1216.3384491,1893.6646539,1778.8808006,1311.2544728,1810.1812591,1715.1982836,1713.2085989,1728.6725372,1484.2700436,1507.0231466,1412.0183384,1751.6814268,1730.8379459,
233,1549.16088,1828.4606117,1674.3880689,1845.1044392,1436.8441239,1375.8978251,1195.6370346,1831.8119479,1727.5443364,1300.8115565,1752.1484122,1672.4549089,1653.4079448,1672.8540199,1451.404674,1474.0037459,1383.2548921,1713.4199094,1677.9847367,
241,1531.4604439,1792.4756793,1630.9136196,1787.003718,1416.2134071,1351.2507827,1182.3832886,1786.8218439,1689.6436598,1298.8361009,1705.7695684,1636.7624679,1604.6296545,1629.2305155,1425.3897182,1447.401627,1367.8098233,1688.6415353,1638.3203343,
249,1519.509253,1760.389858,1598.1432685,1737.1990384,1403.3476742,1334.0106508,1175.6197026,1753.894806,1660.6587834,1305.0772951,1669.4978195,1609.357067,1566.0776305,1598.3291401,1404.456083,1425.8068601,1364.8499385,1675.828581,1609.3439562,
257,1511.8455216,1733.0497875,1576.0797551,1695.8869507,1398.6650453,1323.9862462,1174.7442693,1728.5449793,1635.1704685,1319.3962037,1642.2696243,1590.917729,1537.1716985,1581.5517444,1387.4506597,1407.3600022,1373.4390026,1672.7757184,1588.2687297,
265,1508.5831656,1711.0916918,1564.1671699,1664.0739126,1401.9959466,1321.1433244,1178.7115621,1709.7305155,1609.0744437,1340.8561724,1623.3272951,1582.0020127,1517.5823829,1578.980208,1374.3567595,1392.0892877,1393.2681147,1676.2734541,1572.7427317,
