ID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,,1795.7757345,2502.9358078,1969.144127,1130.9937572,1831.4786592,810.0094999,1296.9402864,2163.159734,1292.8777227,1915.8473231,2013.4165027,1585.9025582,2132.8826763,2697.2484902,1781.9081224,1244.5894008,1661.3452534,1772.0592387,1599.970211
9,,1916.5514691,2618.2322725,2019.1927801,1187.2138834,1947.9254937,688.1897265,1400.4531451,2244.9144331,1329.093099,1923.7210423,2129.5955079,1596.146027,2231.2662686,2756.0749135,1827.1643482,1260.351157,1734.4786592,1810.0034607,1683.8471195
17,,2049.7132388,2709.9495148,2069.1587162,1342.654068,2104.5492977,669.7141209,1545.542037,2343.7543598,1391.9088688,1941.8188912,2280.9203366,1613.0967632,2344.3510891,2821.4245097,1872.9824252,1289.5307729,1827.6089435,1868.7028568,1764.93574
25,,2186.2844541,2783.7057067,2132.1769695,1596.199905,2298.5218837,772.469295,1739.8186198,2465.8260161,1478.3612676,1972.7677953,2461.9783538,1640.6538644,2479.5151659,2903.9700075,1924.3210966,1339.4464952,1943.0287711,1958.8243876,1845.667775
33,,2347.4289883,2853.7771595,2239.9770645,1900.9400149,2520.8302911,987.1433128,1984.6164755,2622.5582547,1579.283572,2027.8102056,2659.2147656,1724.6472824,2642.5891294,3014.4614236,1988.8140056,1412.8883083,2077.5648368,2084.0251747,1931.4001493
41,,2547.4762163,2925.0417317,2414.9448327,2188.011332,2754.7903237,1273.4979982,2274.922983,2815.4855805,1689.4053742,2112.0871276,2858.5452942,1899.1016489,2833.5011196,3161.8366018,2074.3904458,1507.3102395,2228.1918979,2242.8961797,2025.477302
49,,2791.0714528,3001.8773835,2652.9282079,2428.3451177,2997.0949311,1554.5566262,2616.3809459,3036.7019068,1806.4582344,2223.6510145,3064.4118206,2149.73061,3052.0462781,3342.3581462,2185.5182873,1612.8793513,2409.4051028,2433.2511366,2127.4134491
57,,3070.5136052,3080.4942661,2928.1858587,2628.3681889,3238.6192577,1775.5720974,3006.024564,3262.6821605,1936.9176902,2365.2903576,3273.5634118,2424.0318247,3267.6194612,3536.1385628,2318.8558051,1709.930515,2627.4395739,2654.4729592,2230.5963222
65,,3381.9731967,3157.6759178,3207.5935401,2804.7836059,3472.3173645,1926.2661329,3429.2184298,3490.495284,2071.3630318,2537.1646197,3472.7443849,2674.6930854,3473.441406,3711.3807423,2477.8580444,1786.3816923,2884.53498,2902.5776617,2332.9267829
73,,3710.2162584,3223.227794,3437.5881116,2960.625229,3682.9217616,2010.3760603,3860.6065006,3705.305761,2192.091199,2732.3479677,3637.7548348,2875.1785981,3658.4010993,3847.170116,2652.3903101,1828.6111149,3172.3753817,3162.8954333,2422.9294293
81,,4021.2226369,3263.1360521,3576.5553369,3092.4318382,3836.840266,2041.3133609,4267.6711678,3885.1812445,2284.2288118,2938.4707878,3752.1967836,3028.8214698,3808.3084753,3925.8630658,2817.7152745,1839.5805795,3467.029314,3420.7582276,
89,,4264.1566805,3255.3408428,3610.8825405,3175.2624686,3881.107756,2034.263215,4611.9146366,4001.1425663,2325.0466852,3133.0227998,3783.7219244,3134.1236344,3893.7400421,3911.3328357,2941.2588044,1827.5387121,3718.6541358,3643.9110402,
97,,4424.6342539,3176.6934926,3549.6478252,3188.8449481,3802.1829409,1999.2421795,4842.2700007,4033.3681211,2319.7350886,3285.0333854,3735.9558255,3184.9913822,3898.2376332,3795.8610979,3001.9803216,1802.1319129,3896.5685011,3810.0291104,
105,,4459.2271833,3011.8929226,3404.6217683,3121.5984257,3601.321843,1939.8017236,4899.1434485,3953.1728981,2267.9268508,3374.1212594,3608.4540273,3162.9134152,3797.7049603,3571.9197937,2982.4999661,1765.6368325,3965.7740381,3897.2819434,
113,,4375.5962543,2790.7519848,3197.6715749,2976.2881183,3311.507091,1863.4034064,4787.9831038,3749.8680193,2180.9559612,3382.2881862,3400.7766167,3050.2843184,3573.0544208,3271.056253,2879.4606094,1716.4053742,3901.4317025,3876.93669,
121,,4195.2604329,2543.3544141,2958.4336704,2767.5131981,2986.53688,1774.5803081,4542.1547126,3449.4894483,2066.7791274,3299.8670693,3121.2579901,2852.7078103,3268.6288254,2932.7200244,2707.236751,1652.6223112,3714.1332021,3722.8967225,
129,,3935.9113795,2293.5188302,2710.1434485,2526.1756124,2666.2196512,1678.9240687,4194.2495759,3106.4171812,1937.9811359,3119.6764606,2814.0952026,2616.7852344,2932.0724028,2599.2108299,2503.2322047,1577.3427428,3439.8920404,3452.4644772,
137,,3620.2177512,2062.6303182,2469.8356518,2287.6628215,2378.3550248,1585.7515777,3790.4261383,2763.5670082,1810.679107,2880.5759653,2517.0186605,2376.1338807,2602.4394381,2298.1760195,2295.9066296,1498.5218158,3125.5981543,3128.0059035,
145,,3269.1617018,1867.2600936,2247.0445817,2072.7111352,2134.238176,1500.1641447,3379.3746353,2456.8273733,1694.8403339,2622.4652236,2253.7568705,2151.1935944,2307.2564973,2048.1239737,2107.082717,1422.8559408,2811.4752663,2794.0295854,
153,,2922.7674561,1712.9657325,2056.0645315,1892.6297075,1935.7691525,1425.6797856,2991.4746556,2199.5306372,1593.711271,2377.3963493,2033.6328968,1958.6033792,2061.7619597,1852.0209676,1946.4509059,1354.3995386,2521.8805727,2487.508991,
161,,2606.6490466,1598.4743163,1903.9674289,1748.626654,1781.5497048,1364.0248354,2652.7620954,1994.8230305,1509.373346,2162.5986972,1859.7598561,1802.8703264,1871.7150031,1705.2786863,1817.1643482,1295.5768474,2271.9655289,2226.5032232,
169,,2339.3340571,1517.6165434,1789.0711814,1637.9206758,1666.7844202,1315.2313904,2375.4509059,1840.1703196,1440.3276786,1985.8313768,1728.9222365,1684.0739635,1732.7120174,1599.9562326,1716.1959015,1247.0134356,2068.5885866,2018.6523037,
177,,2130.8360589,1463.1316414,1706.1241094,1553.8074235,1582.6808034,1277.2926647,2161.8501052,1728.905001,1384.9571826,1847.3036575,1633.6345932,1596.516523,1635.7958879,1525.8038271,1639.1613626,1207.7730881,1911.0555065,1860.8727014,
185,1691.8699193,1978.1641447,1426.3976386,1647.7432313,1490.4821877,1520.2383796,1247.5568297,2004.3358893,1649.8157698,1339.4013028,1743.2569722,1566.0735564,1533.2721042,1569.6611251,1473.3818959,1579.2746828,1176.8391124,1792.5737939,1745.575626,
193,1667.7971772,1873.7346136,1400.0143856,1606.6024971,1442.2507973,1473.3475606,1223.5961186,1893.0208998,1593.5309086,1303.009432,1666.789238,1518.228269,1486.5201194,1524.3920744,1435.4884305,1531.8782656,1152.6525752,1704.990093,1661.9191152,
201,1644.0617493,1805.4162991,1378.6491145,1575.0352175,1404.442831,1437.4745878,1202.7909344,1814.8594015,1552.573251,1273.8377553,1610.9978965,1483.263215,1449.614372,1489.7818416,1405.8918369,1492.0511637,1133.7366493,1640.0992061,1602.4184027,
209,1619.4710592,1761.9537898,1359.2130691,1547.7941236,1373.5370835,1408.2052657,1184.1346271,1759.6226505,1521.716428,1251.1073488,1567.7903237,1456.416842,1417.9274615,1458.974486,1379.9747574,1457.8513266,1118.7133745,1591.5720974,1561.1184094,
217,1593.4772342,1732.331275,1340.2970075,1520.1261451,1348.064735,1383.2337654,1167.7940558,1718.9859537,1497.2645043,1232.9824252,1530.5261586,1433.345457,1388.1137274,1428.1549162,1355.1703196,1427.4048314,1107.0962204,1553.5407478,1531.3542105,
